job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Data Scientist,Full-Time,Executive,Director,225000,United States Dollar,United States,225000,United States,Medium,2023,-0.02828394589145047
Data Scientist,Full-Time,Executive,Director,145000,United States Dollar,United States,145000,United States,Medium,2023,-0.08910858804870657
Data Scientist,Full-Time,Senior,Expert,165000,United States Dollar,United States,165000,United States,Medium,2023,-0.07390242750939253
Data Engineer,Full-Time,Senior,Expert,153600,United States Dollar,United States,153600,United States,Medium,2023,-0.02459424957203652
Data Engineer,Full-Time,Senior,Expert,106800,United States Dollar,United States,106800,United States,Medium,2023,-0.2323673955117502
ETL Developer,Full-Time,Senior,Expert,182850,United States Dollar,United States,182850,United States,Medium,2023,0.7645803931361841
ETL Developer,Full-Time,Senior,Expert,113000,United States Dollar,United States,113000,United States,Medium,2023,-0.3016192567053503
Data Analyst,Full-Time,Mid,Intermediate,95000,United States Dollar,United States,95000,United States,Medium,2023,-0.2122063810290456
Data Architect,Full-Time,Senior,Expert,85000,British Pound Sterling,United Kingdom,104584,United Kingdom,Medium,2023,-1.2259860294376448
Data Architect,Full-Time,Senior,Expert,75000,British Pound Sterling,United Kingdom,92280,United Kingdom,Medium,2023,-1.3813530481426368
Data Analyst,Full-Time,Mid,Intermediate,126000,United States Dollar,United States,126000,United States,Medium,2023,0.10687064614882649
Data Analyst,Full-Time,Mid,Intermediate,86400,United States Dollar,United States,86400,United States,Medium,2023,-0.3007245240525843
Data Engineer,Full-Time,Senior,Expert,232760,United States Dollar,United States,232760,United States,Medium,2023,0.32684425967129116
Data Engineer,Full-Time,Senior,Expert,169280,United States Dollar,United States,169280,United States,Medium,2023,0.04501863351203849
Data Engineer,Full-Time,Mid,Intermediate,162500,United States Dollar,United States,162500,United States,Medium,2023,0.014918164933592791
Data Engineer,Full-Time,Mid,Intermediate,130000,United States Dollar,United States,130000,United States,Medium,2023,-0.12936874196898615
Data Scientist,Full-Time,Senior,Expert,240350,United States Dollar,United States,240350,United States,Medium,2023,-0.016613217677526958
Data Scientist,Full-Time,Senior,Expert,174800,United States Dollar,United States,174800,United States,Medium,2023,-0.06645140884512866
Data Engineer,Full-Time,Senior,Expert,154000,United States Dollar,United States,154000,United States,Medium,2023,-0.022818410717850936
Data Engineer,Full-Time,Senior,Expert,116000,United States Dollar,United States,116000,United States,Medium,2023,-0.19152310186548172
Data Analyst,Full-Time,Senior,Expert,153600,United States Dollar,United States,153600,United States,Medium,2023,0.3909521284104159
Data Analyst,Full-Time,Senior,Expert,107500,United States Dollar,United States,107500,United States,Medium,2023,-0.08354628942506492
Data Analyst,Full-Time,Mid,Intermediate,94100,United States Dollar,United Kingdom,94100,United Kingdom,Medium,2023,-0.22146990762453223
Data Analyst,Full-Time,Mid,Intermediate,72400,United States Dollar,United Kingdom,72400,United Kingdom,Medium,2023,-0.4448238266490427
