job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Machine Learning Scientist,Full-Time,Mid,Intermediate,22800,United States Dollar,Egypt,22800,Egypt,Medium,2022,-2.6295255045946684
Data Analyst,Full-Time,Entry,Junior,20000,Euro,Portugal,22809,Portugal,Medium,2020,-0.9841669306529296
Data Analyst,Full-Time,Entry,Junior,15000,United States Dollar,Indonesia,15000,Indonesia,Large,2022,-1.035630967294522
Data Science Manager,Full-Time,Senior,Expert,193000,Australian Dollar,Australia,133766,Australia,Large,2022,-0.1746848492423902
Machine Learning Engineer,Full-Time,Entry,Junior,83000,United States Dollar,United States,83000,United States,Large,2022,-0.3657168894719358
Data Scientist,Full-Time,Senior,Expert,186000,United States Dollar,United States,186000,United States,Medium,2022,-0.0579359589431128
Data Scientist,Full-Time,Senior,Expert,148800,United States Dollar,United States,148800,United States,Medium,2022,-0.0862194175462369
Data Analyst,Full-Time,Senior,Expert,112900,United States Dollar,United States,112900,United States,Medium,2022,-0.0279651298521452
Data Analyst,Full-Time,Senior,Expert,90320,United States Dollar,United States,90320,United States,Medium,2022,-0.260376719325576
ML Engineer,Full-Time,Senior,Expert,240000,United States Dollar,United States,240000,United States,Medium,2022,-0.1444301421148144
ML Engineer,Full-Time,Senior,Expert,160000,United States Dollar,United States,160000,United States,Medium,2022,-0.2042512179882425
Data Science Manager,Full-Time,Senior,Expert,300000,United States Dollar,United States,300000,United States,Medium,2022,-0.0669679654300177
Data Science Manager,Full-Time,Senior,Expert,200000,United States Dollar,United States,200000,United States,Medium,2022,-0.1676379503013939
Data Engineer,Full-Time,Mid,Intermediate,62500,Euro,Germany,65666,Germany,Small,2022,-0.4290415486128039
AI Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States,200000,India,Large,2022,-0.1511878257080296
Machine Learning Engineer,Full-Time,Mid,Intermediate,95000,British Pound Sterling,United Kingdom,116976,United Kingdom,Medium,2022,-0.3260067291760707
Machine Learning Engineer,Full-Time,Mid,Intermediate,75000,British Pound Sterling,United Kingdom,92350,United Kingdom,Medium,2022,-0.3921903296691792
AI Scientist,Full-Time,Mid,Intermediate,120000,United States Dollar,United States,120000,United States,Medium,2022,-0.3418274658302387
Data Analytics Manager,Full-Time,Senior,Expert,145000,United States Dollar,United States,145000,United States,Medium,2022,-0.2123658080318451
Data Analytics Manager,Full-Time,Senior,Expert,105400,United States Dollar,United States,105400,United States,Medium,2022,-0.2753958392353372
Data Scientist,Full-Time,Entry,Junior,43200,Euro,Germany,49268,Germany,Small,2020,-0.1665079451938149
Data Scientist,Full-Time,Senior,Expert,215300,United States Dollar,United States,215300,United States,Large,2022,-0.0356589337530177
Data Scientist,Full-Time,Senior,Expert,158200,United States Dollar,United States,158200,United States,Large,2022,-0.0790725220927593
Data Engineer,Full-Time,Senior,Expert,209100,United States Dollar,United States,209100,United States,Large,2022,0.2218033914462137
Machine Learning Engineer,Full-Time,Mid,Intermediate,80000,Euro,Germany,84053,France,Medium,2022,-0.3756444295459021
Data Analyst,Full-Time,Senior,Expert,164000,United States Dollar,United States,164000,United States,Medium,2022,0.4979973246249278
Data Analyst,Full-Time,Senior,Expert,132000,United States Dollar,United States,132000,United States,Medium,2022,0.1686274901187372
